[INFO] Saved chunk_z05_y00_x03.tif, shape=(170, 512, 306)
[INFO] Saved chunk_z05_y01_x00.tif, shape=(170, 512, 512)
[INFO] Saved chunk_z05_y01_x01.tif, shape=(170, 512, 512)
[INFO] Saved chunk_z05_y01_x02.tif, shape=(170, 512, 512)
[INFO] Saved chunk_z05_y01_x03.tif, shape=(170, 512, 306)
[INFO] Saved chunk_z05_y02_x00.tif, shape=(170, 512, 512)
[INFO] Saved chunk_z05_y02_x01.tif, shape=(170, 512, 512)
[INFO] Saved chunk_z05_y02_x02.tif, shape=(170, 512, 512)
[INFO] Saved chunk_z05_y02_x03.tif, shape=(170, 512, 306)
[INFO] Saved chunk_z05_y03_x00.tif, shape=(170, 496, 512)
[INFO] Saved chunk_z05_y03_x01.tif, shape=(170, 496, 512)
[INFO] Saved chunk_z05_y03_x02.tif, shape=(170, 496, 512)
[INFO] Saved chunk_z05_y03_x03.tif, shape=(170, 496, 306)

Done. 96 chunks saved to /gpfs/marilyn/pi/kuan/shared/FIB_SEM/WORM/raw/test
